track_id,mood_label,lang_bucket,year_bucket,status,has_preview,preview_url,deezer_id
610NBTZVH4OsT2MtFCtswH,calm,likely_western_other,2020_plus,not_found,False,,
0RoA7ObU6phWpqhlC9zH4Z,sad,likely_western_other,2010_2019,error:ConnectionError,False,,
0ssxoYXlw70MY4lh3JsI9q,sad,likely_western_other,2020_plus,error:ConnectionError,False,,
5wGyswmLznW0JynbejzquB,calm,likely_western_other,2020_plus,matched_fuzzy,True,"https://cdnt-preview.dzcdn.net/api/1/1/5/6/6/0/566943cef6b32782d38db87c6aaac9f8.mp3?hdnea=exp=1781591950~acl=/api/1/1/5/6/6/0/566943cef6b32782d38db87c6aaac9f8.mp3*~data=user_id=0,application_id=42~hmac=8f1256375056157c3f125ca77bdb54d52d87d7354da20ec3d66247bb440981fd",3124991851.0
7nVyLj4ojgyG8WePISdCko,happy,likely_western_other,2020_plus,matched,True,"https://cdnt-preview.dzcdn.net/api/1/1/f/c/6/0/fc62301199c4b3796a55f8047ed2d4e6.mp3?hdnea=exp=1781591951~acl=/api/1/1/f/c/6/0/fc62301199c4b3796a55f8047ed2d4e6.mp3*~data=user_id=0,application_id=42~hmac=dd48eaf7f604aeb11446ac647a66fb9c3b214e0e3b7cc1ceadef456ea478dbbe",1045853782.0
0kpyUB7Ec786btHC5C6Xa3,calm,likely_vn,2010_2019,error:ConnectionError,False,,
3pxWcF7ohfDbYsLk15GTol,energetic,likely_western_other,2020_plus,error:ConnectionError,False,,
7Ki2fTfTdDhqY2AY8muY5z,happy,likely_western_other,2020_plus,matched,True,"https://cdnt-preview.dzcdn.net/api/1/1/f/c/1/0/fc15a631e8f95ea1e16b793685c70d32.mp3?hdnea=exp=1781591985~acl=/api/1/1/f/c/1/0/fc15a631e8f95ea1e16b793685c70d32.mp3*~data=user_id=0,application_id=42~hmac=4c742bdd023b79f1ed6b41e306c2e091aba17d2a3c0896fef08c3bc5d576392a",3541548411.0
5y2ijHECwFYWqcAHKTZgzD,romantic,likely_western_other,2020_plus,matched,True,"https://cdnt-preview.dzcdn.net/api/1/1/e/d/f/0/edfe95b3d116a20fa3dce517e7f57636.mp3?hdnea=exp=1781591994~acl=/api/1/1/e/d/f/0/edfe95b3d116a20fa3dce517e7f57636.mp3*~data=user_id=0,application_id=42~hmac=09d6388d10cd49a0f38725814d51dd35360c6849a0a36f315efb43a0318a5844",4056906451.0
0AdNthpY5nOB70TJ3OxCt6,calm,likely_western_other,2020_plus,matched,True,"https://cdnt-preview.dzcdn.net/api/1/1/7/6/c/0/76c8d0cab39999b922cb73f05ac931e6.mp3?hdnea=exp=1781591995~acl=/api/1/1/7/6/c/0/76c8d0cab39999b922cb73f05ac931e6.mp3*~data=user_id=0,application_id=42~hmac=6116f64e8efc1ca6bc14b54d60641bc74dfb48d4b6c6c560d718c4a60033f15a",2876240062.0
